office,advertiser_party,election_state,advertiser_type,advertiser,target,title,link,issues_combined,total_airings_to_date,estimated_spending,first_aired_on
house,Republican,TX,Candidate,Wall for TX CD-22,Wall for TX CD-22,Unite,https://s3.amazonaws.com/pdfweb/videos/ce9fc42e-5351-41a8-95d0-5a6a71ababf5.mp4,Coronavirus|Donald Trump|Jobs,386,160565.51,2020-07-03
house,Democrat,NY,Candidate,Conole for NY CD-24,Conole for NY CD-24,Urgent Mission,https://s3.amazonaws.com/pdfweb/videos/2d767428-5a90-40ac-8a68-53270cc039c0.mp4,Coronavirus|Healthcare|,385,39001.07,2020-06-09
house,Republican,FL,Candidate,Askar for FL CD-19,Askar for FL CD-19,China Must Pay,https://s3.amazonaws.com/pdfweb/videos/7412eae1-df2f-4098-9f4c-c86cc0bfd390.mp4,Coronavirus|Donald Trump|Jobs,379,88257.99,2020-05-01
house,Democrat,MI,Candidate,Tlaib for MI CD-13,Tlaib for MI CD-13,Something Special,https://s3.amazonaws.com/pdfweb/videos/4ad8965d-dd26-40fe-a6f0-d395ca7af539.mp4,Coronavirus|Donald Trump|,377,83374.42,2020-06-27
house,Republican,NY,Candidate,Jacobs for NY CD-27,Jacobs for NY CD-27,Troubling Times,https://s3.amazonaws.com/pdfweb/videos/ac0af861-b180-4520-9b12-360e070076b1.mp4,Coronavirus|Donald Trump|Economy,370,42614.36,2020-05-06
house,Republican,AL,Candidate,Carl for AL CD-01,Hightower for AL CD-01,America At Risk,https://s3.amazonaws.com/pdfweb/videos/6e79c876-5b90-417b-9947-c1a82526dafc.mp4,Coronavirus|Donald Trump|Jobs,368,48563.65,2020-06-16
house,Republican,TN,Candidate,Harshbarger for TN CD-01,Harshbarger for TN CD-01,Put America First,https://s3.amazonaws.com/pdfweb/videos/cbbe02b3-0413-4c0c-ad41-5921ee09979a.mp4,Coronavirus|Donald Trump|,365,32712.83,2020-05-01
house,Republican,TX,Candidate,Jackson for TX CD-13,Jackson for TX CD-13,Put Texas First,https://s3.amazonaws.com/pdfweb/videos/8a2ac5de-b1ff-4d7e-a9e3-adb83f895baa.mp4,Coronavirus|Donald Trump|Economy,365,32824.18,2020-06-16
house,Republican,FL,Candidate,St. George for FL CD-03,St. George for FL CD-03,First Do No Harm,https://s3.amazonaws.com/pdfweb/videos/075a9887-5b41-4f6c-b84a-3d0cf498923c.mp4,Coronavirus|Donald Trump|Nancy Pelosi,351,42807.26,2020-06-05
house,Republican,UT,Candidate,Moore for UT CD-01,Moore for UT CD-01,Expect More,https://s3.amazonaws.com/pdfweb/videos/61bf4d4b-b6ca-41c1-9cba-11d63f1f203c.mp4,Coronavirus|Economy|Healthcare,348,50811.28,2020-05-20
